V	1002	ATI Technologies Inc
X	55701787	AMD Radeon HD 5570
X	65701043	AMD Radeon HD 6500 Series
X	65701458	AMD Radeon HD 6500 Series
X	65701462	AMD Radeon HD 6500 Series
X	6570148C	AMD Radeon HD 6500 Series
X	65701682	AMD Radeon HD 6500 Series
X	6570174B	AMD Radeon HD 6500 Series
X	65701787	AMD Radeon HD 6500 Series
X	657017AF	AMD Radeon HD 6500 Series
X	7570174B	AMD Radeon HD7570
X	8510174B	AMD Radeon HD 8510
X	8570174B	AMD Radeon HD8570
D	6743	AMD Radeon E6760
D	6744	AMD Mobility Radeon HD 6000 series
D	6746	ATI FirePro V (FireGL V) Graphics Adapter
D	6747	ATI FirePro V (FireGL V) Graphics Adapter
D	6748	ATI FirePro V (FireGL V) Graphics Adapter
D	6749	AMD FirePro V4900 (FireGL V)
D	674A	AMD FirePro V3900 (ATI FireGL)
D	6750	AMD Radeon HD 6600A Series
D	6751	AMD Radeon HD 7600A Series
D	6758	AMD Radeon HD 6670
X	250A1462	AMD Radeon HD7670
X	33001682	AMD Radeon HD 7670
X	7670148C	AMD Radeon HD 7670
X	76701545	AMD Radeon HD 7670
X	7670174B	AMD Radeon HD 7670
D	6759	AMD Radeon HD 6570
X	25091462	AMD Radeon HD7570
X	32801682	AMD Radeon HD 7570
X	35301682	AMD Radeon HD 8550
X	3A671642	AMD Radeon HD 6570 Graphics
X	7570148C	AMD Radeon HD 7570 Series
X	7570174B	AMD Radeon HD 7570
X	8550174B	AMD Radeon HD8550
X	8570174B	AMD Radeon HD8550
D	675B	AMD Radeon HD 7600 Series
X	7670174B	AMD Radeon HD 7670
X	767017AF	AMD Radeon HD 7670
D	675D	AMD Radeon HD 7500 Series
X	3000174B	AMD Radeon HD 7570
X	300017AF	AMD Radeon HD 7570
X	35301682	AMD Radeon HD 8550
D	675F	AMD Radeon HD 5500 Series
X	35201682	AMD Radeon HD 8510
X	6510148C	AMD Radeon HD 6510 Series
X	6510174B	AMD Radeon HD 6510 Series
X	6530148C	AMD Radeon HD 6530 Series
X	7510148C	AMD Radeon HD 7510 Series
X	7510174B	AMD Radeon HD 7510
X	75701545	AMD Radeon HD 7570
X	8510148C	AMD Radeon HD 8510
X	8510174B	AMD Radeon HD 8510
X	851017AF	AMD Radeon HD 8510
D	6760	AMD Radeon HD 7400M Series
D	6761	AMD Radeon HD 6430M
X	30001787	AMD Radeon HD 6450
D	6762	ATI FirePro V (FireGL V) Graphics Adapter
D	6763	AMD Radeon E6460
D	6764	Mobility Radeon HD 6000 series
D	6765	Mobility Radeon HD 6000 series
D	6766	ATI FirePro V (FireGL V) Graphics Adapter
D	6767	ATI FirePro V (FireGL V) Graphics Adapter
D	6768	ATI FirePro V (FireGL V) Graphics Adapter
D	6770	AMD Radeon HD 6400 Series
D	6771	AMD Radeon(TM) HD8490
X	00281019	AMD Radeon R5 235X
D	6772	AMD Radeon HD 7400A Series
D	6778	AMD Radeon HD 7000 series
X	3C651642	AMD Radeon HD 8470 Graphics
X	3C751642	AMD Radeon HD 8470 Graphics
X	B4911462	AMD Radeon HD 8470 Graphics
X	B4921462	AMD Radeon HD 8470 Graphics
X	B4931462	AMD Radeon HD 8470
X	B4991462	AMD Radeon R5 235
X	D145174B	AMD Radeon R5 235
D	6779	AMD Radeon HD 6450
X	212C1462	AMD Radeon R5 200 Series
X	22A21458	AMD Radeon R5 200 Series
X	22A31458	AMD Radeon R5 200 Series
X	23001787	AMD Radeon R5 230
X	23461462	AMD RADEON HD7450
X	23471462	AMD Radeon R5 200 Series
X	30001787	AMD Radeon R5 200 Series
X	30131043	ASUS R5 230 Series
X	30151043	ASUS R5 230 Series
X	30171043	ASUS R5 230 Series
X	32001682	AMD Radeon HD 7450
X	5230148C	AMD Radeon R5 200 Series
X	52301682	AMD Radeon R5 200 Series
X	52301787	AMD Radeon R5 200 Series
X	7450148C	AMD RADEON HD 7450
X	7450174B	AMD RADEON HD 7450
X	8450148C	AMD RADEON HD8450
X	8450174B	AMD RADEON HD8450
X	845017AF	AMD Radeon HD 8450
X	8A9D1462	AMD Radeon R5 200 Series
X	90BB1B0A	AMD Radeon(TM) HD 7450A Graphics
X	A004174B	AMD Radeon R5 200 Series
X	E164174B	AMD RADEON HD 6450
D	677B	AMD Radeon HD 7400 Series
