V	1002	ATI Technologies Inc
X	20511043	GeForce GT 555M
X	20A61B0A	GeForce GT 555M
D	0DD1	GeForce GTX 460M
X	02A21028	GeForce GTX 460M
X	048F1028	GeForce GTX 460M
X	04901028	GeForce GTX 460M
X	04911028	GeForce GTX 460M
X	04B91028	GeForce GTX 460M
X	04BA1028	GeForce GTX 460M
X	10831462	GeForce GTX 460M
X	10EA17C0	GeForce GTX 460M
X	203D1043	GeForce GTX 460M
X	20401043	GeForce GTX 460M
X	20411043	GeForce GTX 460M
X	20421043	GeForce GTX 460M
X	20431043	GeForce GTX 460M
X	20441043	GeForce GTX 460M
X	20451043	GeForce GTX 460M
X	20461043	GeForce GTX 460M
X	20471043	GeForce GTX 460M
X	20481043	GeForce GTX 460M
X	204A1043	GeForce GTX 460M
X	204B1043	GeForce GTX 460M
X	362017AA	GeForce GTX 460M
X	51021558	GeForce GTX 460M
X	71001558	GeForce GTX 460M
X	72001558	GeForce GTX 460M
X	81001558	GeForce GTX 460M
X	84651043	GeForce GTX 460M
X	86871558	GeForce GTX 460M
X	FCB01179	GeForce GTX 460M
X	FF501179	GeForce GTX 460M
D	0DD2	GeForce GT 445M
X	046C1028	GeForce GT 445M
X	04911028	GeForce GT 445M
X	0854152D	GeForce GT 445M
D	0DD3	GeForce GT 435M
X	046C1028	GeForce GT 435M
D	0DD6	GeForce GT 550M
X	04B71028	GeForce GT 550M
X	04B81028	GeForce GT 550M
D	0DE0	GeForce GT 440
X	C0001458	GeForce GT 440
D	0DE1	GeForce GT 430
X	23021462	GeForce GT 430
X	23031462	GeForce GT 430
X	23051462	GeForce GT 430
X	316219DA	GeForce GT 430
X	3A261642	GeForce GT 430
X	836D1043	GeForce GT 430
X	C0001458	GeForce GT 430
D	0DE2	GeForce GT 420
X	10041019	GeForce GT 420
X	1162174B	GeForce GT 420
X	2162174B	GeForce GT 420
X	23011462	GeForce GT 420
X	23021462	GeForce GT 420
X	3A261642	GeForce GT 420
X	835F1043	GeForce GT 420
X	90831B0A	GeForce GT 420
D	0DE3	GeForce GT 635M
X	0950152D	GeForce GT 635M
X	0989152D	GeForce GT 635M
X	0992152D	GeForce GT 635M
X	1006152D	GeForce GT 635M
X	100D1043	GeForce GT 635M
X	1022152D	GeForce GT 635M
X	10AC1043	GeForce GT 635M
X	10B81462	GeForce GT 635M
X	10BC1043	GeForce GT 635M
X	10CC1043	GeForce GT 635M
X	112D1043	GeForce GT 635M
X	14471043	GeForce GT 635M
X	14771043	GeForce GT 635M
X	15471043	GeForce GT 635M
X	15871043	GeForce GT 635M
X	181B103C	GeForce GT 635M
X	181D103C	GeForce GT 635M
X	189B103C	GeForce GT 635M
X	20DC1B0A	GeForce GT 635M
X	20DD1B0A	GeForce GT 635M
X	20DF1B0A	GeForce GT 635M
X	21371043	GeForce GT 635M
X	21391043	GeForce GT 635M
X	21DA1043	GeForce GT 635M
X	222A1B0A	GeForce GT 635M
X	27061558	GeForce GT 635M
X	390117AA	GeForce GT 635M
X	390217AA	GeForce GT 635M
X	390417AA	GeForce GT 635M
X	500117AA	GeForce GT 635M
X	500317AA	GeForce GT 635M
X	500717AA	GeForce GT 635M
X	501217AA	GeForce GT 635M
X	99951019	GeForce GT 635M
D	0DE4	GeForce GT 520
D	0DE5	GeForce GT 530
X	23001462	GeForce GT 530
X	23091462	GeForce GT 530
X	230A1462	GeForce GT 530
X	230C1462	GeForce GT 530
X	230D1462	GeForce GT 530
X	3A261642	GeForce GT 530
X	7162174B	GeForce GT 530
X	839A1043	GeForce GT 530
X	839B1043	GeForce GT 530
X	90A11B0A	GeForce GT 530
X	90A31B0A	GeForce GT 530
D	0DE7	GeForce GT 610
D	0DE8	GeForce GT 620M
X	006A14C0	GeForce GT 620M
X	006B14C0	GeForce GT 620M
X	006D14C0	GeForce GT 620M
X	0924152D	GeForce GT 620M
X	0970152D	GeForce GT 620M
X	0973152D	GeForce GT 620M
X	0975152D	GeForce GT 620M
X	0977152D	GeForce GT 620M
X	175C10CF	GeForce GT 620M
X	176310CF	GeForce GT 620M
X	176510CF	GeForce GT 620M
X	176710CF	GeForce GT 620M
X	176910CF	GeForce GT 620M
X	21FC17AA	GeForce GT 620M
X	9097104D	GeForce GT 620M
X	C652144D	GeForce GT 620M
D	0DE9	GeForce GT 630M
X	006514C0	GeForce GT 630M
X	006614C0	GeForce GT 630M
X	04871025	GeForce GT 630M
X	04881025	GeForce GT 630M
X	05051025	GeForce GT 630M
X	05071025	GeForce GT 630M
X	05121025	GeForce GT 630M
X	055E1028	GeForce GT 630M
X	05631028	GeForce GT 630M
X	05731025	GeForce GT 630M
X	05741025	GeForce GT 630M
X	05751025	GeForce GT 630M
X	06461025	GeForce GT 630M
X	06481025	GeForce GT 630M
X	064A1025	GeForce GT 630M
X	064C1025	GeForce GT 630M
X	06791025	GeForce GT 630M
X	067A1025	GeForce GT 630M
X	06801025	GeForce GT 630M
X	06861025	GeForce GT 630M
X	06891025	GeForce GT 630M
X	068B1025	GeForce GT 630M
X	068D1025	GeForce GT 630M
X	068F1025	GeForce GT 630M
X	06921025	GeForce GT 620M
X	069B1025	GeForce GT 630M
X	069E1025	GeForce GT 630M
X	07021025	GeForce GT 630M
X	07191025	GeForce GT 630M
X	07211025	GeForce GT 630M
X	07221025	GeForce GT 630M
X	07231025	GeForce GT 630M
X	07251025	GeForce GT 620M
X	07281025	GeForce GT 620M
X	072B1025	GeForce GT 620M
X	072E1025	GeForce GT 620M
X	07321025	GeForce GT 630M
X	073F1025	GeForce GT 630M
X	07531025	GeForce GT 620M
X	07541025	GeForce GT 620M
X	0969152D	GeForce GT 630M
X	0972152D	GeForce GT 630M
X	0974152D	GeForce GT 630M
X	0976152D	GeForce GT 630M
X	100D1043	GeForce GT 630M
X	109C1462	GeForce GT 630M
X	10A41462	GeForce GT 630M
X	10AA1462	GeForce GT 630M
X	10AC1043	GeForce GT 630M
X	10B81462	GeForce GT 630M
X	10BA1462	GeForce GT 630M
X	10BC1043	GeForce GT 630M
X	10CC1043	GeForce GT 630M
X	10E717C0	GeForce GT 630M
X	10F517C0	GeForce GT 630M
X	14471043	GeForce GT 630M
X	14771043	GeForce GT 630M
X	14971043	GeForce GT 630M
X	15471043	GeForce GT 630M
X	15871043	GeForce GT 630M
X	181A103C	GeForce GT 630M
X	181B103C	GeForce GT 630M
X	181D103C	GeForce GT 630M
X	1837103C	GeForce GT 630M
X	20C61B0A	GeForce GT 630M
X	20C81B0A	GeForce GT 630M
X	20DC1B0A	GeForce GT 630M
X	20DD1B0A	GeForce GT 630M
X	20DF1B0A	GeForce GT 630M
X	20E41B0A	GeForce GT 630M
X	20EC1B0A	GeForce GT 630M
X	21041043	GeForce GT 630M
X	21061043	GeForce GT 630M
X	21101043	GeForce GT 630M
X	21131043	GeForce GT 630M
X	21141043	GeForce GT 630M
X	21281043	GeForce GT 630M
X	212E1043	GeForce GT 630M
X	212F1043	GeForce GT 630M
X	21311043	GeForce GT 630M
X	21371043	GeForce GT 630M
X	22101B0A	GeForce GT 635M
X	22281B0A	GeForce GT 630M
X	22291B0A	GeForce GT 630M
X	222A1B0A	GeForce GT 630M
X	22DB1019	GeForce GT 630M
X	27021558	GeForce GT 630M
X	27031558	GeForce GT 630M
X	30121854	GeForce GT 630M
X	30141854	GeForce GT 630M
X	362B17AA	GeForce GT 630M
X	390117AA	GeForce GT 630M
X	390217AA	GeForce GT 630M
X	390317AA	GeForce GT 630M
X	390417AA	GeForce GT 630M
X	397717AA	GeForce GT 640M LE
X	397D17AA	GeForce GT 630M
X	397F17AA	GeForce GT 630M
X	398317AA	GeForce GT 630M
X	500117AA	GeForce GT 630M
X	500317AA	GeForce GT 630M
X	500717AA	GeForce GT 630M
X	500F17AA	GeForce GT 630M
X	501217AA	GeForce GT 630M
X	55841991	GeForce GT 630M
X	85181043	GeForce GT 630M
X	85231043	GeForce GT 630M
X	90B81B0A	GeForce GT 630M
X	99951019	GeForce GT 630M
X	999D1019	GeForce GT 635M
X	A9621462	GeForce GT 630M
X	AA321462	GeForce GT 630M
X	AA591462	GeForce GT 630M
X	AA731462	GeForce GT 630M
X	AC771462	GeForce GT 630M
X	AC7C1462	GeForce GT 630M
X	AC911462	GeForce GT 630M
X	AD311462	GeForce GT 630M
X	AE321462	GeForce GT 630M
X	AE721462	GeForce GT 630M
X	AF111462	GeForce GT 630M
X	AF131462	GeForce GT 630M
X	C0D1144D	GeForce GT 630M
X	C634144D	GeForce GT 630M
X	C650144D	GeForce GT 630M
X	C652144D	GeForce GT 630M
X	FB011179	GeForce GT 630M
X	FB111179	GeForce GT 630M
X	FB121179	GeForce GT 630M
X	FB621179	GeForce GT 630M
X	FB691179	GeForce GT 630M
X	FB6D1179	GeForce GT 630M
X	FB701179	GeForce GT 630M
D	0DEA	GeForce 610M
X	00111BFD	GeForce 610M
X	04881025	GeForce 610M
X	05051025	GeForce 610M
X	05071025	GeForce 610M
X	05091025	GeForce 610M
X	05121025	GeForce 610M
X	055A1025	GeForce 610M
X	06111025	GeForce 610M
X	0925152D	GeForce 610M
X	0932152D	GeForce 610M
X	0938152D	GeForce 610M
X	0945152D	GeForce 610M
X	0954152D	GeForce 610M
X	0956152D	GeForce 610M
X	0962152D	GeForce 610M
X	0965152D	GeForce 610M
X	0D88105B	GeForce 610M
X	0D9A105B	GeForce 610M
X	20DF1B0A	GeForce 610M
X	22DB1019	GeForce 610M
X	25121558	GeForce 610M
X	365A17AA	GeForce 615
X	365B17AA	GeForce 615
X	365E17AA	GeForce 615
X	366017AA	GeForce 615
X	366C17AA	GeForce 615
X	FF00105B	GeForce 610M
D	0DEB	GeForce GT 555M
X	362017AA	GeForce GT 555M
X	398017AA	GeForce GT 555M
X	398117AA	GeForce GT 555M
D	0DEC	GeForce GT 525M
X	40111071	GeForce GT 525M
X	C0A0144D	GeForce GT 525M
X	C0A5144D	GeForce GT 525M
X	C0AE144D	GeForce GT 525M
X	C0B7144D	GeForce GT 525M
X	C0C1144D	GeForce GT 525M
X	FC501179	GeForce GT 525M
X	FC611179	GeForce GT 525M
X	FC711179	GeForce GT 525M
X	FC811179	GeForce GT 525M
X	FCD01179	GeForce GT 525M
X	FD161179	GeForce GT 525M
X	FD501179	GeForce GT 525M
X	FD611179	GeForce GT 525M
X	FD711179	GeForce GT 525M
X	FDD01179	GeForce GT 525M
D	0DED	GeForce GT 520M
X	005614C0	GeForce GT 520M
X	005914C0	GeForce GT 520M
X	005A14C0	GeForce GT 520M
X	0873152D	GeForce GT 520M
X	0878152D	GeForce GT 520M
X	0880152D	GeForce GT 520M
X	0DBD105B	GeForce GT 520M
X	105C1043	GeForce GT 520M
X	109C1462	GeForce GT 520M
X	10AA1462	GeForce GT 520M
X	20021BAB	GeForce GT 520M
X	209F1B0A	GeForce GT 520M
X	25001558	GeForce GT 520M
X	55841991	GeForce GT 520M
X	56861991	GeForce GT 520M
X	FCD01179	GeForce GT 520M
X	FDD21179	GeForce GT 520M
D	0DEE	GeForce GT 415M
X	03701025	GeForce GT 415M
X	03711025	GeForce GT 415M
X	03741025	GeForce GT 415M
X	03751025	GeForce GT 415M
X	037C1025	GeForce GT 415M
X	037D1025	GeForce GT 415M
X	04171025	GeForce GT 415M
X	04231025	GeForce GT 415M
X	055A1025	GeForce GT 415M
X	15521043	GeForce GT 415M
X	15621043	GeForce GT 415M
X	15821043	GeForce GT 415M
X	15A21043	GeForce GT 415M
D	0DEF	NVS 5400M
X	21F317AA	NVS 5400M
X	21F417AA	NVS 5400M
X	21F517AA	NVS 5400M
X	21F617AA	NVS 5400M
X	21F817AA	NVS 5400M
X	362B17AA	NVS 5400M
X	365B17AA	NVS 5400M
X	500517AA	NVS 5400M
D	0DF0	GeForce GT 425M
X	005314C0	GeForce GT 425M
X	04631025	GeForce GT 425M
X	04681028	GeForce GT 425M
X	08441854	GeForce GT 425M
X	0852152D	GeForce GT 425M
X	0853152D	GeForce GT 425M
X	0855152D	GeForce GT 425M
X	10751462	GeForce GT 425M
X	10821462	GeForce GT 425M
X	10E217C0	GeForce GT 425M
X	14821043	GeForce GT 425M
X	15021043	GeForce GT 425M
X	15121043	GeForce GT 425M
X	15221043	GeForce GT 425M
X	15321043	GeForce GT 425M
X	15521043	GeForce GT 425M
X	15821043	GeForce GT 425M
X	15F21043	GeForce GT 425M
X	207C1B0A	GeForce GT 425M
X	396C17AA	GeForce GT 425M
X	51301558	GeForce GT 425M
X	56091B50	GeForce GT 425M
X	71301558	GeForce GT 425M
X	90771B0A	GeForce GT 425M
X	907A104D	GeForce GT 425M
X	907C1B0A	GeForce GT 425M
X	907E104D	GeForce GT 425M
X	9081109F	GeForce GT 425M
X	909A1B0A	GeForce GT 425M
X	92801071	GeForce GT 425M
X	A01B1BCF	GeForce GT 425M
X	C08E144D	GeForce GT 425M
D	0DF1	GeForce GT 420M
X	035A1025	GeForce GT 420M
X	036C1025	GeForce GT 420M
X	036D1025	GeForce GT 420M
X	03701025	GeForce GT 420M
X	03711025	GeForce GT 420M
X	03741025	GeForce GT 420M
X	03751025	GeForce GT 420M
X	037C1025	GeForce GT 420M
X	037D1025	GeForce GT 420M
X	04171025	GeForce GT 420M
X	041E1025	GeForce GT 420M
X	04231025	GeForce GT 420M
X	04341025	GeForce GT 420M
X	04641025	GeForce GT 420M
X	04681028	GeForce GT 420M
X	046E1028	GeForce GT 420M
X	04871025	GeForce GT 420M
X	04881025	GeForce GT 420M
X	04991025	GeForce GT 420M
X	049A1025	GeForce GT 420M
X	0853152D	GeForce GT 420M
X	20031BFD	GeForce GT 420M
X	20361B0A	GeForce GT 420M
X	207A1B0A	GeForce GT 420M
X	C08E144D	GeForce GT 420M
D	0DF2	GeForce GT 435M
X	046E1028	GeForce GT 435M
X	15251458	GeForce GT 435M
X	15261458	GeForce GT 435M
X	15B21043	GeForce GT 435M
X	15C21043	GeForce GT 435M
X	5162174B	GeForce GT 435M
X	A00A1BCF	GeForce GT 435M
X	A0221BCF	GeForce GT 435M
D	0DF3	GeForce GT 420M
X	C08B144D	GeForce GT 420M
D	0DF4	GeForce GT 540M
X	00011179	GeForce GT 540M
X	00101179	GeForce GT 540M
X	005914C0	GeForce GT 540M
X	03711025	GeForce GT 540M
X	037D1025	GeForce GT 540M
X	041E1025	GeForce GT 540M
X	04341025	GeForce GT 540M
X	04871025	GeForce GT 540M
X	04881025	GeForce GT 540M
X	04C81028	GeForce GT 540M
X	05001025	GeForce GT 540M
X	05011025	GeForce GT 540M
X	05021025	GeForce GT 540M
X	05031025	GeForce GT 540M
X	05041025	GeForce GT 540M
X	05051025	GeForce GT 540M
X	05061025	GeForce GT 540M
X	05071025	GeForce GT 540M
X	05081025	GeForce GT 540M
X	05091025	GeForce GT 540M
X	050E1028	GeForce GT 540M
X	05111025	GeForce GT 540M
X	05121025	GeForce GT 540M
X	054E1025	GeForce GT 540M
X	05501025	GeForce GT 540M
X	055A1025	GeForce GT 540M
X	055C1025	GeForce GT 540M
X	05641025	GeForce GT 540M
X	05651025	GeForce GT 540M
X	05661025	GeForce GT 540M
X	05681025	GeForce GT 540M
X	056B1025	GeForce GT 540M
X	05701025	GeForce GT 540M
X	05721025	GeForce GT 540M
X	05731025	GeForce GT 540M
X	05741025	GeForce GT 540M
X	05751025	GeForce GT 540M
X	05761025	GeForce GT 540M
X	05781025	GeForce GT 540M
X	05791025	GeForce GT 540M
X	057A1025	GeForce GT 540M
X	057B1025	GeForce GT 540M
X	05801025	GeForce GT 540M
X	05811025	GeForce GT 540M
X	058B1025	GeForce GT 540M
X	058C1025	GeForce GT 540M
X	08631854	GeForce GT 540M
X	0873152D	GeForce GT 540M
X	0877152D	GeForce GT 540M
X	0952152D	GeForce GT 630M
X	0953152D	GeForce GT 630M
X	0DF41849	GeForce GT 540M
X	105C1043	GeForce GT 540M
X	108D1462	GeForce GT 540M
X	109C1462	GeForce GT 540M
X	10A41462	GeForce GT 540M
X	10AA1462	GeForce GT 540M
X	10E217C0	GeForce GT 540M
X	10E517C0	GeForce GT 540M
X	10E717C0	GeForce GT 540M
X	10E817C0	GeForce GT 540M
X	10EC17C0	GeForce GT 540M
X	10ED17C0	GeForce GT 540M
X	15E21043	GeForce GT 540M
X	15F21043	GeForce GT 540M
X	16421043	GeForce GT 540M
X	16621043	GeForce GT 540M
X	16721043	GeForce GT 540M
X	20051B61	GeForce GT 540M
X	208F1B0A	GeForce GT 540M
X	209D1B0A	GeForce GT 540M
X	25501558	GeForce GT 540M
X	30121854	GeForce GT 540M
X	397D17AA	GeForce GT 540M
X	397F17AA	GeForce GT 540M
X	398117AA	GeForce GT 540M
X	51401558	GeForce GT 540M
X	56871991	GeForce GT 540M
X	71401558	GeForce GT 540M
X	849E1043	GeForce GT 540M
X	84EE1043	GeForce GT 540M
X	90201C06	GeForce GT 540M
X	907E104D	GeForce GT 540M
X	9086104D	GeForce GT 540M
X	9089104D	GeForce GT 540M
X	908E104D	GeForce GT 540M
X	90AD1B0A	GeForce GT 540M
X	AA321462	GeForce GT 540M
X	AA521462	GeForce GT 540M
X	AA591462	GeForce GT 540M
X	AC711462	GeForce GT 540M
X	AC721462	GeForce GT 540M
X	AC751462	GeForce GT 540M
X	AE321462	GeForce GT 540M
X	AE331462	GeForce GT 540M
X	C0A5144D	GeForce GT 540M
X	C0C0144D	GeForce GT 540M
X	C0C1144D	GeForce GT 540M
X	FC001179	GeForce GT 540M
X	FC011179	GeForce GT 540M
X	FC051179	GeForce GT 540M
X	FC2A1179	GeForce GT 540M
X	FC311179	GeForce GT 540M
X	FC351179	GeForce GT 540M
X	FC501179	GeForce GT 540M
X	FCD01179	GeForce GT 540M
D	0DF5	GeForce GT 525M
X	005914C0	GeForce GT 525M
X	005A14C0	GeForce GT 525M
X	006214C0	GeForce GT 525M
X	006714C0	GeForce GT 525M
X	006814C0	GeForce GT 525M
X	00E61B0A	GeForce GT 525M
X	04461028	GeForce GT 525M
X	04B61028	GeForce GT 525M
X	04C41028	GeForce GT 525M
X	04C61028	GeForce GT 525M
X	04CA1028	GeForce GT 525M
X	05111028	GeForce GT 525M
X	05121028	GeForce GT 525M
X	10E517C0	GeForce GT 525M
X	164910CF	GeForce GT 525M
X	164A10CF	GeForce GT 525M
X	20021BAB	GeForce GT 525M
X	20041BFD	GeForce GT 525M
X	209C1B0A	GeForce GT 525M
X	397D17AA	GeForce GT 525M
X	397F17AA	GeForce GT 525M
X	55841991	GeForce GT 525M
X	56861991	GeForce GT 525M
X	80011BFD	GeForce GT 525M
X	80031BFD	GeForce GT 525M
X	90201C06	GeForce GT 525M
X	C0AE144D	GeForce GT 525M
D	0DF6	GeForce GT 550M
X	005914C0	GeForce GT 550M
X	005E14C0	GeForce GT 550M
X	17121043	GeForce GT 550M
X	20021BAB	GeForce GT 550M
X	20A51B0A	GeForce GT 550M
X	25251458	GeForce GT 550M
X	25321458	GeForce GT 550M
X	398117AA	GeForce GT 550M
D	0DF7	GeForce GT 520M
X	005A14C0	GeForce GT 520M
X	04881025	GeForce GT 520M
X	05051025	GeForce GT 520M
X	05071025	GeForce GT 520M
X	05091025	GeForce GT 520M
X	05121025	GeForce GT 520M
X	053A1025	GeForce GT 520M
X	055A1025	GeForce GT 520M
X	060D1025	GeForce GT 520M
X	06111025	GeForce GT 520M
X	108C1462	GeForce GT 520M
X	10941462	GeForce GT 520M
X	397D17AA	GeForce GT 520M
X	397F17AA	GeForce GT 520M
D	0DFC	NVS 5200M
X	05341028	NVS 5200M
X	05351028	NVS 5200M
X	15341028	NVS 5200M
X	15351028	NVS 5200M
D	0E22	GeForce GTX 460
X	835D1043	GeForce GTX 460
X	83861043	GeForce GTX 460
X	C0001458	GeForce GTX 460
D	0E23	GeForce GTX 460 SE
X	C0001458	GeForce GTX 460 SE
D	0E24	GeForce GTX 460
X	083D10DE	GeForce GTX 460
X	10061019	GeForce GTX 460
X	23201462	GeForce GTX 460
X	23241462	GeForce GTX 460
X	4600174B	GeForce GTX 460
X	4602174B	GeForce GTX 460
X	83611043	GeForce GTX 460
X	907F1B0A	GeForce GTX 460
X	90861B0A	GeForce GTX 460
D	0E30	GeForce GTX 470M
X	71001558	GeForce GTX 470M
X	72001558	GeForce GTX 470M
X	86871558	GeForce GTX 470M
D	0E31	GeForce GTX 485M
X	51021558	GeForce GTX 485M
X	71001558	GeForce GTX 485M
X	72001558	GeForce GTX 485M
D	0F00	GeForce GT 630
D	0F01	GeForce GT 620
D	0F02	GeForce GT 730
D	0F03	GeForce GT 610
X	36E81458	GeForce GT 610
D	0FC0	GeForce GT 640
X	0640174B	GeForce GT 640
X	093D10DE	GeForce GT 640
X	100F10DE	GeForce GT 640
X	10151019	GeForce GT 640
X	275B1462	GeForce GT 640
X	3B861642	GeForce GT 640
X	85971043	GeForce GT 640
X	90C51B0A	GeForce GT 640
X	A642174B	GeForce GT 640
X	A644174B	GeForce GT 640
D	0FC1	GeForce GT 640
D	0FC2	GeForce GT 630
X	0630174B	GeForce GT 630
X	0936103C	GeForce GT 630
X	27501462	GeForce GT 630
X	27511462	GeForce GT 630
X	27521462	GeForce GT 630
X	27541462	GeForce GT 630
X	27551462	GeForce GT 630
X	275A1462	GeForce GT 630
X	275C1462	GeForce GT 630
X	3B861642	GeForce GT 630
X	3B981642	GeForce GT 630
X	602417AA	GeForce GT 630
X	602517AA	GeForce GT 630
X	809E144D	GeForce GT 630
X	809F144D	GeForce GT 630
X	83E21043	GeForce GT 630
X	85981043	GeForce GT 630
X	A632174B	GeForce GT 630
D	0FC6	GeForce GTX 650
X	068B1028	GeForce GTX 650
X	07901028	GeForce GTX 650
X	079A1028	GeForce GTX 650
X	10171019	GeForce GTX 650
X	28021462	GeForce GTX 650
X	28091462	GeForce GTX 650
X	3C781642	GeForce GTX 650
D	0FC8	GeForce GT 740
X	864E1043	GeForce GT 740
D	0FC9	GeForce GT 730
D	0FCD	GeForce GT 755M
X	1024152D	GeForce GT 755M
X	380017AA	GeForce GT 755M
X	380117AA	GeForce GT 755M
D	0FD1	GeForce GT 650M
X	006514C0	GeForce GT 650M
X	006614C0	GeForce GT 650M
X	05521028	GeForce GT 650M
X	05661028	GeForce GT 650M
X	05781028	GeForce GT 650M
X	06861025	GeForce GT 650M
X	068B1025	GeForce GT 650M
X	07181071	GeForce GT 650M
X	0934152D	GeForce GT 650M
X	0943152D	GeForce GT 650M
X	10B81462	GeForce GT 650M
X	10C71462	GeForce GT 650M
X	10CD1462	GeForce GT 650M
X	11501558	GeForce GT 650M
X	15501558	GeForce GT 650M
X	15971043	GeForce GT 650M
X	15A71043	GeForce GT 650M
X	181A103C	GeForce GT 650M
X	181B103C	GeForce GT 650M
X	181D103C	GeForce GT 650M
X	189A103C	GeForce GT 650M
X	20DD1B0A	GeForce GT 650M
X	21031043	GeForce GT 650M
X	21051043	GeForce GT 650M
X	21411043	GeForce GT 650M
X	24421458	GeForce GT 650M
X	25421458	GeForce GT 650M
X	365B17AA	GeForce GT 650M
X	397017AA	GeForce GT 650M
X	397117AA	GeForce GT 650M
X	397217AA	GeForce GT 650M
X	397717AA	GeForce GT 650M
X	AD311462	GeForce GT 650M
X	AF121462	GeForce GT 650M
X	C0CC144D	GeForce GT 650M
X	C0D1144D	GeForce GT 650M
X	C634144D	GeForce GT 650M
X	C650144D	GeForce GT 650M
D	0FD2	GeForce GT 640M
X	00101BFD	GeForce GT 640M
X	006614C0	GeForce GT 640M
X	01681854	GeForce GT 640M
X	01851854	GeForce GT 640M
X	054B1028	GeForce GT 640M
X	054F1028	GeForce GT 640M
X	055F1028	GeForce GT 640M
X	05951028	GeForce GT 640M LE
X	05B21028	GeForce GT 640M LE
X	06461025	GeForce GT 640M
X	06481025	GeForce GT 640M
X	066C1025	GeForce GT 640M
X	06791025	GeForce GT 640M
X	067D1025	GeForce GT 640M
X	06811025	GeForce GT 640M
X	06821025	GeForce GT 640M
X	06831025	GeForce GT 640M
X	06841025	GeForce GT 640M
X	06861025	GeForce GT 640M
X	068B1025	GeForce GT 640M
X	069E1025	GeForce GT 640M
X	071B1025	GeForce GT 640M
X	071D1025	GeForce GT 640M
X	07331025	GeForce GT 640M
X	07341025	GeForce GT 640M
X	07351025	GeForce GT 640M
X	07361025	GeForce GT 640M
X	0926152D	GeForce GT 640M
X	0933152D	GeForce GT 640M
X	0939152D	GeForce GT 640M
X	0942152D	GeForce GT 640M
X	0946152D	GeForce GT 640M
X	0949152D	GeForce GT 640M
X	0955152D	GeForce GT 640M
X	0957152D	GeForce GT 640M
X	0963152D	GeForce GT 640M
X	0966152D	GeForce GT 640M
X	0D9A105B	GeForce GT 640M
X	100D1043	GeForce GT 640M
X	10AC1043	GeForce GT 640M
X	10B71462	GeForce GT 640M
X	10B81462	GeForce GT 640M
X	10BA1462	GeForce GT 640M
X	10BC1043	GeForce GT 640M
X	10CC1043	GeForce GT 640M
X	10D31462	GeForce GT 640M
X	14471043	GeForce GT 640M
X	15421458	GeForce GT 640M
X	15A71043	GeForce GT 640M
X	18081854	GeForce GT 640M
X	20C61B0A	GeForce GT 640M
X	20DC1B0A	GeForce GT 640M
X	20DD1B0A	GeForce GT 640M
X	20DF1B0A	GeForce GT 640M
X	20E41B0A	GeForce GT 640M
X	20E81B0A	GeForce GT 640M
X	20EC1B0A	GeForce GT 640M
X	22281B0A	GeForce GT 640M
X	222A1B0A	GeForce GT 640M
X	222F1B0A	GeForce GT 640M
X	22DB1019	GeForce GT 640M
X	24421458	GeForce GT 640M
X	27011558	GeForce GT 640M
X	390217AA	GeForce GT 640M
X	390417AA	GeForce GT 640M
X	397717AA	GeForce GT 640M
X	500317AA	GeForce GT 640M
X	501217AA	GeForce GT 640M
X	85331043	GeForce GT 640M
X	9097104D	GeForce GT 640M
X	AD311462	GeForce GT 640M
X	C0D5144D	GeForce GT 640M
X	FB011179	GeForce GT 640M
X	FB051179	GeForce GT 640M
X	FB121179	GeForce GT 640M
D	0FD3	GeForce GT 640M LE
X	006514C0	GeForce GT 640M LE
X	006614C0	GeForce GT 640M LE
X	006D14C0	GeForce GT 640M LE
X	07131025	GeForce GT 640M LE
X	07171025	GeForce GT 640M LE
X	0923152D	GeForce GT 640M LE
X	0924152D	GeForce GT 640M LE
X	104D1043	GeForce GT 640M LE
X	175D10CF	GeForce GT 640M LE
X	176410CF	GeForce GT 640M LE
X	176610CF	GeForce GT 640M LE
X	176810CF	GeForce GT 640M LE
X	67471A58	GeForce GT 640M LE
X	909A104D	GeForce GT 640M LE
X	909C104D	GeForce GT 640M LE
D	0FD4	GeForce GTX 660M
X	05501028	GeForce GTX 660M
X	05511028	GeForce GTX 660M
X	057B1028	GeForce GTX 660M
X	05801028	GeForce GTX 660M
X	05AB1028	GeForce GTX 660M
X	102D1043	GeForce GTX 660M
X	10D71462	GeForce GTX 660M
X	10D81462	GeForce GTX 660M
X	21151043	GeForce GTX 660M
X	21161043	GeForce GTX 660M
X	21171043	GeForce GTX 660M
X	21181043	GeForce GTX 660M
X	25421458	GeForce GTX 660M
X	37001558	GeForce GTX 660M
X	397717AA	GeForce GTX 660M
X	51051558	GeForce GTX 660M
X	67451458	GeForce GTX 660M
X	67461458	GeForce GTX 660M
X	71021558	GeForce GTX 660M
D	0FD5	GeForce GT 650M
X	00F2106B	GeForce GT 650M
X	00FC106B	GeForce GT 650M
X	010A106B	GeForce GT 650M
D	0FD8	GeForce GT 640M
X	0109106B	GeForce GT 640M
D	0FD9	GeForce GT 645M
X	0990152D	GeForce GT 645M
X	0993152D	GeForce GT 645M
X	0997152D	GeForce GT 645M
X	1001152D	GeForce GT 645M
X	1015152D	GeForce GT 645M
X	104D1043	GeForce GT 645M
X	10AC1043	GeForce GT 645M
X	10B81462	GeForce GT 645M
X	10BD1043	GeForce GT 645M
X	20DC1B0A	GeForce GT 645M
